Titre,Auteur(s),Genre,Genre_count,Thème,Thème_Count,Date de publication,Date de publication_count,fulldate,Editeur,Editeur_count,pays,pays_count,pays_id_wikidata,coordinate location,latitude,longitude,Collection,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19
"La protéine suppresseur P1 des virus de la panachure jaune du riz (Oryza sp.) et du chiendent (Imperata cylindrica) : diversité, étude fonctionnelle et applications en biotechnologies","Sérémé, Drissa",,6971,"protéine suppresseur P1, biotechnologies",1,2010,60,2010,"Centre national de la recherche scientifique et technologique, Université Joseph Ki-Zerbo",6,Burkina Faso,125,Q965,"12.266667,-2.066667",12.266667,-2.066667,Thèses soutenues,,,,,,,,,,,,,,,,,,,
Utilisation des bioindicateurs comme outil de suivi des écosystèmes au Burkina Faso,"Akoudjin, Massouroudini",,6971,bioindicateurs,1,2017,315,2017,"Centre national de la recherche scientifique et technologique, Université Joseph Ki-Zerbo",6,Burkina Faso,125,Q965,"12.266667,-2.066667",12.266667,-2.066667,Thèses soutenues,,,,,,,,,,,,,,,,,,,
"La fermentation lactique dans le procédé traditionnel de fabrication de la bière de sorgho (dolo, pito) : caractérisation des bactéries lactiques pour la sélection de cultures starter","Sawadogo-Lingani, Hagrétou",,6971,fermentation lactique,2,2010,60,2010,"Centre national de la recherche scientifique et technologique, Université Joseph Ki-Zerbo",6,Burkina Faso,125,Q965,"12.266667,-2.066667",12.266667,-2.066667,Thèses soutenues,,,,,,,,,,,,,,,,,,,
"La fermentation lactique dans le procédé traditionnel de fabrication de la bière de sorgho (dolo, pito) : caractérisation des bactéries lactiques pour la sélection de cultures starter","Sawadogo-Lingani, Hagrétou",,6971,fermentation lactique,2,2010,60,2010,"Centre national de la recherche scientifique et technologique, Université Joseph Ki-Zerbo",6,Burkina Faso,125,Q965,"12.266667,-2.066667",12.266667,-2.066667,Thèses soutenues,,,,,,,,,,,,,,,,,,,
Case management and control of malaria in pregnancy: case of Burkina Faso,"Tahita, Marc Christian",,6971,"malaria, pregnancy",1,2012,40,2012,"Centre national de la recherche scientifique et technologique, Université Joseph Ki-Zerbo",6,Burkina Faso,125,Q965,"12.266667,-2.066667",12.266667,-2.066667,Thèses soutenues,,,,,,,,,,,,,,,,,,,
"Etude comparative de la transmission de la schistosomiase (formes uro-génitale, intestinale et hépatique) dans dix sites du Burkina Faso","Zongo, Dramane",,6971,schistosomiase,1,2010,60,2010,"Centre national de la recherche scientifique et technologique, Université Joseph Ki-Zerbo",6,Burkina Faso,125,Q965,"12.266667,-2.066667",12.266667,-2.066667,Thèses soutenues,,,,,,,,,,,,,,,,,,,
Indication for Antibiotic Prescription Among Children Attending Primary Healthcare Services in Rural Burkina Faso,"Sié, Ali; Ouattara, Mamadou; Bountogo, Mamadou; Dah",,6971,"Antibiotic, Children ",1,2021,552,2021,Institut National de Santé Publique,10,Burkina Faso,125,Q965,"12.266667,-2.066667",12.266667,-2.066667,Articles publiés dans des revues sans comité scientifique,,,,,,,,,,,,,,,,,,,
Rapport d'activités,"Ministère de la santé, Centre National de Recherche et de Formation sur le Paludisme",,6971,Rapport d'activités,1,2015,439,2015,Institut National de Santé Publique,10,Burkina Faso,125,Q965,"12.266667,-2.066667",12.266667,-2.066667,Rapports,,,,,,,,,,,,,,,,,,,
Rapport de situation sur l’épidémie de la maladie à Coronavirus (COVID-19) au Burkina Faso,"Ministère de la santé, Institut National de Santé Publique; Centre des Opérations et de Réponse aux Urgences Sanitaire",,6971,"épidémie, Coronavirus",1,2020,435,2020,Institut National de Santé Publique,10,Burkina Faso,125,Q965,"12.266667,-2.066667",12.266667,-2.066667,Rapports,,,,,,,,,,,,,,,,,,,
Rapport d’activités scientifiques et techniques,"HIEN, Hervé; BAKYONO, Richard; BANDAOGO, Ousséni; BAZIE, Hermann",,6971,Rapport d’activités,1,2021,552,2021,Institut National de Santé Publique,10,Burkina Faso,125,Q965,"12.266667,-2.066667",12.266667,-2.066667,Rapports,,,,,,,,,,,,,,,,,,,
